I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PO2 (atm),Power-Thermal (W)
49.8,54.21083122084468,0.39392884455663774,2693.1118786806146,54.07855178073523,2.045883935084788,2.027447576000959,2697.2401213193853
49.9,54.21062628867504,0.3939244465402899,2698.489606250445,54.077948021051,2.045636648368375,2.027307958048669,2702.6863937495546
50.0,54.21042133409422,0.3939200497581775,2703.8672215401307,54.07734443080261,2.045389361651962,2.0271683400963787,2708.1327784598693
50.1,54.21021635709716,0.39391565420467917,2709.2447245618396,54.07674100921835,2.0451420749355487,2.027028722144088,2713.5792754381605
50.2,54.21001135767875,0.39391125987420667,2714.622115327661,54.07613775553109,2.044894788219135,2.0268891041917985,2719.025884672339
50.3,54.20980633583388,0.3939068667612051,2719.999393849605,54.075534668978236,2.0446475015027223,2.0267494862395083,2724.4726061503943
50.4,54.209601291557476,0.39390247486015245,2725.3765601396067,54.074931748801724,2.0444002147863087,2.026609868287218,2729.9194398603927
50.5,54.20939622484443,0.39389808416555916,2730.7536142095223,54.07432899424796,2.0441529280698956,2.0264702503349277,2735.3663857904776
50.6,54.20919113568963,0.3938936946719681,2736.13055607113,54.073726404567786,2.0439056413534824,2.026330632382638,2740.8134439288697
50.7,54.20898602408798,0.39388930637395425,2741.507385736134,54.073123979016444,2.0436583546370692,2.0261910144303474,2746.260614263866
50.8,54.20878089003436,0.39388491926612434,2746.8841032161604,54.07252171685355,2.043411067920656,2.0260513964780573,2751.7078967838393
50.9,54.20857573352369,0.39388053334311685,2752.260708522763,54.071919617343084,2.043163781204243,2.025911778525767,2757.1552914772365
51.0,54.208370554550825,0.39387614859960135,2757.637201667417,54.07131767975327,2.0429164944878293,2.025772160573477,2762.602798332583
51.1,54.20816535311068,0.39387176503027876,2763.013582661526,54.07071590335667,2.0426692077714166,2.025632542621187,2768.050417338474
51.2,54.207960129198135,0.39386738262988064,2768.389851516417,54.070114287430016,2.042421921055003,2.025492924668897,2773.498148483583
